Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane
Q12462	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	236		0	False
Q5SWY8	Mus musculus	Metazoa	596		0	True
P40055	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554		0	False
Q9Y5X3	Homo sapiens	Metazoa	404		0	False
O14188	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1489		0	False
Q96EY7	Homo sapiens	Metazoa	689		0	False
Q00IB6	Arabidopsis thaliana	Viridiplantae	440		0	False
P81451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	68		0	True
Q8IXH6	Homo sapiens	Metazoa	220		0	False
O94286	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	178		0	False
Q06215	Vicia faba	Viridiplantae	606		0	False
O00198	Homo sapiens	Metazoa	91		0	True
Q9NUQ9	Homo sapiens	Metazoa	324		0	False
F4KDN0	Arabidopsis thaliana	Viridiplantae	857		0	False
Q9H9P8	Homo sapiens	Metazoa	463		0	False
P11978	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1358		0	False
Q5XF07	Arabidopsis thaliana	Viridiplantae	364		0	False
Q5NCM1	Mus musculus	Metazoa	492		0	False
Q8MQX9	Drosophila melanogaster	Metazoa	1174		0	False
Q8WXC6	Homo sapiens	Metazoa	57		0	False
P42838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414		0	True
Q8LGJ5	Arabidopsis thaliana	Viridiplantae	276		0	False
Q6S591	Arabidopsis thaliana	Viridiplantae	253		0	False
Q9LKW9	Arabidopsis thaliana	Viridiplantae	1146		0	True
Q12038	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1033		0	False
Q9NK54	Drosophila melanogaster	Metazoa	1711		0	False
P41698	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	603		0	False
P47822	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		0	False
Q8BKT7	Mus musculus	Metazoa	683		0	False
Q969G3	Homo sapiens	Metazoa	411		0	False
Q99ML0	Mus musculus	Metazoa	440		0	False
Q8L8M9	Arabidopsis thaliana	Viridiplantae	442		0	False
Q9P2G3	Homo sapiens	Metazoa	628		0	False
Q95Q39	Caenorhabditis elegans	Metazoa	287		0	True
O75943	Homo sapiens	Metazoa	681		0	False
P40547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	921		0	False
P80299	Rattus norvegicus	Metazoa	554		0	False
Q12340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	786		0	False
P31949	Homo sapiens	Metazoa	105		0	False
A6NFQ2	Homo sapiens	Metazoa	919		0	False
Q791V5	Mus musculus	Metazoa	303		0	True
Q5TCS8	Homo sapiens	Metazoa	1911		0	False
P43554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	623		0	False
Q60866	Mus musculus	Metazoa	349		0	False
P35731	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278		0	False
Q8WXX7	Homo sapiens	Metazoa	1259		0	False
Q9CQT9	Mus musculus	Metazoa	129		0	True
Q94AV5	Arabidopsis thaliana	Viridiplantae	459		0	False
Q9SZR9	Arabidopsis thaliana	Viridiplantae	638		0	False
Q9C5S1	Arabidopsis thaliana	Viridiplantae	784		0	False
Q8BG87	Mus musculus	Metazoa	1803		0	False
Q3UP24	Mus musculus	Metazoa	1024		0	False
Q9M2X3	Arabidopsis thaliana	Viridiplantae	295		0	False
Q9UBY9	Homo sapiens	Metazoa	170		0	False
P80217	Homo sapiens	Metazoa	286		0	False
Q06563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	197		0	True
Q3URS9	Mus musculus	Metazoa	406		0	False
Q9EQJ4	Rattus norvegicus	Metazoa	579		0	False
Q6P6C2	Homo sapiens	Metazoa	394		0	False
O13297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	549		0	False
Q94131	Caenorhabditis elegans	Metazoa	335		0	False
Q10414	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	561		0	False
F4KH86	Arabidopsis thaliana	Viridiplantae	400		0	False
Q99288	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334		0	False
O60447	Homo sapiens	Metazoa	810		0	False
Q6ZVD8	Homo sapiens	Metazoa	1323		0	False
P07978	Mus musculus	Metazoa	107		0	False
Q08287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484		0	False
Q925G0	Rattus norvegicus	Metazoa	155		0	False
Q66GP9	Arabidopsis thaliana	Viridiplantae	561		0	False
M9MRD1	Drosophila melanogaster	Metazoa	12345		0	False
Q9T0H9	Arabidopsis thaliana	Viridiplantae	359		0	False
Q9HFR0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	437		0	False
O20030	Chlamydomonas reinhardtii	Viridiplantae	197		0	True
Q9LMJ4	Arabidopsis thaliana	Viridiplantae	599		0	False
Q8S9K3	Arabidopsis thaliana	Viridiplantae	758		0	False
P62993	Homo sapiens	Metazoa	217		0	False
P29350	Homo sapiens	Metazoa	595		0	False
Q12089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	606		0	False
Q3E824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	90		0	True
P19447	Homo sapiens	Metazoa	782		0	False
Q9SEL7	Arabidopsis thaliana	Viridiplantae	323		0	False
Q6DYE4	Arabidopsis thaliana	Viridiplantae	455		0	False
P52868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		0	False
O60239	Homo sapiens	Metazoa	455		0	False
Q06810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		0	False
Q8BMA3	Mus musculus	Metazoa	555		0	False
Q6UN15	Homo sapiens	Metazoa	594		0	False
Q9Y4W2	Homo sapiens	Metazoa	734		0	False
Q3E840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	82		0	False
Q12393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		0	False
Q99MV7	Mus musculus	Metazoa	1640		0	False
P53061	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	704		0	False
Q16775	Homo sapiens	Metazoa	308		0	False
O14284	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188		0	False
Q4WN10	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	575		0	False
Q6QJ72	Arabidopsis thaliana	Viridiplantae	187		0	False
P47175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	358		0	False
P0DO24	Arabidopsis thaliana	Viridiplantae	649		0	False
Q13888	Homo sapiens	Metazoa	395		0	False
P38300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278		0	False
Q9Y5U2	Homo sapiens	Metazoa	329		0	False
Q9WUB6	Mus musculus	Metazoa	687		0	True
P38291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		0	False
P0DW81	Homo sapiens	Metazoa	44		0	False
Q03063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	452		0	False
Q8TD16	Homo sapiens	Metazoa	824		0	False
P62847	Homo sapiens	Metazoa	133		0	False
Q21227	Caenorhabditis elegans	Metazoa	1188		0	False
P48412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387		0	False
Q8LPS2	Arabidopsis thaliana	Viridiplantae	670		0	False
F1MH24	Bos taurus	Metazoa	957		0	False
P41223	Homo sapiens	Metazoa	144		0	False
P32259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	974		0	False
Q9D6Z0	Mus musculus	Metazoa	221		0	False
Q15013	Homo sapiens	Metazoa	274		0	False
Q9ES52	Mus musculus	Metazoa	1191		0	False
Q8TEA8	Homo sapiens	Metazoa	209		0	False
Q9C0C6	Homo sapiens	Metazoa	399		0	False
Q15080	Homo sapiens	Metazoa	339		0	False
Q2VLK6	Trypanosoma cruzi (strain CL Brener)	Other	358		0	False
P19541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	446		0	False
Q9Y7L4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	409		0	False
Q02447	Homo sapiens	Metazoa	781		0	False
P38065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1025		0	False
Q9C086	Homo sapiens	Metazoa	356		0	False
Q9LMA8	Arabidopsis thaliana	Viridiplantae	253		0	False
P09925	Mus musculus	Metazoa	306		0	True
Q91YI6	Mus musculus	Metazoa	484		0	False
Q04116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353		0	False
Q86TS9	Homo sapiens	Metazoa	123		0	False
Q9VKB9	Drosophila melanogaster	Metazoa	1341		0	False
P38691	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1029		0	False
Q99359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		0	False
Q6UJY2	Mus musculus	Metazoa	1175		0	True
Q923Q2	Mus musculus	Metazoa	1113		0	False
Q9D992	Mus musculus	Metazoa	256		0	False
H2KZH5	Caenorhabditis elegans	Metazoa	621		0	False
Q9JMC2	Mus musculus	Metazoa	493		0	False
Q9VB46	Drosophila melanogaster	Metazoa	579		0	True
Q96EU6	Homo sapiens	Metazoa	259		0	False
Q8R3H9	Mus musculus	Metazoa	386		0	False
P09622	Homo sapiens	Metazoa	509		0	False
Q02046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320		0	False
Q9C829	Arabidopsis thaliana	Viridiplantae	440		0	False
Q12259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	485		0	False
Q8IV76	Homo sapiens	Metazoa	773		0	False
P83510	Mus musculus	Metazoa	1323		0	False
Q8I566	Plasmodium falciparum (isolate 3D7)	Other	442		0	False
Q9UK41	Homo sapiens	Metazoa	221		0	False
Q9M9X4	Arabidopsis thaliana	Viridiplantae	295		0	False
F4IV66	Arabidopsis thaliana	Viridiplantae	1001		0	False
Q01448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625		0	False
Q9Y5Z4	Homo sapiens	Metazoa	205		0	False
Q5VTR2	Homo sapiens	Metazoa	975		0	False
Q94A41	Arabidopsis thaliana	Viridiplantae	887		0	False
Q9SB31	Arabidopsis thaliana	Viridiplantae	404		0	False
A0JN39	Bos taurus	Metazoa	953		0	False
Q9SZI2	Arabidopsis thaliana	Viridiplantae	372		0	False
Q62696	Rattus norvegicus	Metazoa	911		0	False
O55035	Rattus norvegicus	Metazoa	752		0	False
F4I1T7	Arabidopsis thaliana	Viridiplantae	1819		0	False
Q9D1F4	Mus musculus	Metazoa	257		0	False
Q84VZ1	Arabidopsis thaliana	Viridiplantae	245		0	False
P40121	Homo sapiens	Metazoa	348		0	False
P53184	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216		0	False
Q2T9J0	Homo sapiens	Metazoa	566		0	False
Q9M5P2	Arabidopsis thaliana	Viridiplantae	289		0	False
Q03375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135		0	False
Q16514	Homo sapiens	Metazoa	161		0	False
P48437	Mus musculus	Metazoa	737		0	False
Q86X51	Homo sapiens	Metazoa	503		0	False
O35260	Rattus norvegicus	Metazoa	514		0	False
Q9W2I4	Drosophila melanogaster	Metazoa	289		0	False
Q550D5	Dictyostelium discoideum	Other	872		0	False
Q9JK95	Mus musculus	Metazoa	193		0	True
Q6IDB0	Arabidopsis thaliana	Viridiplantae	193		0	False
O42975	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	972		0	False
Q587E3	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	735		0	False
F4ISV6	Arabidopsis thaliana	Viridiplantae	537		0	False
Q24434	Drosophila melanogaster	Metazoa	479		0	False
Q9VKJ3	Drosophila melanogaster	Metazoa	1411		0	False
Q8L6Z4	Arabidopsis thaliana	Viridiplantae	430		0	False
Q6WNK7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	96		0	False
P04197	Drosophila melanogaster	Metazoa	657		0	False
P34283	Caenorhabditis elegans	Metazoa	442		0	False
Q9VTE2	Drosophila melanogaster	Metazoa	962		0	False
Q10290	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	303		0	False
Q56Y52	Arabidopsis thaliana	Viridiplantae	467		0	False
Q9S816	Arabidopsis thaliana	Viridiplantae	521		0	False
D3ZNV2	Rattus norvegicus	Metazoa	288		0	False
P38637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319		0	False
Q08760	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	435		0	False
Q95749	Arabidopsis thaliana	Viridiplantae	556		0	False
P23180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465		0	False
O65502	Arabidopsis thaliana	Viridiplantae	395		0	False
P32372	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	648		0	False
Q5QJE6	Homo sapiens	Metazoa	756		0	False
Q9H3M7	Homo sapiens	Metazoa	391		0	False
P58418	Homo sapiens	Metazoa	232		0	True
Q06338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		0	False
Q8IVP5	Homo sapiens	Metazoa	155		0	True
O60832	Homo sapiens	Metazoa	514		0	False
Q969F1	Homo sapiens	Metazoa	213		0	False
Q9VGH1	Drosophila melanogaster	Metazoa	520		0	False
P39880	Homo sapiens	Metazoa	1505		0	False
P29344	Spinacia oleracea	Viridiplantae	411		0	False
P80667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	386		0	False
Q8TEX9	Homo sapiens	Metazoa	1081		0	False
Q8VIE6	Mus musculus	Metazoa	465		0	True
Q06411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	708		0	False
P54783	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	526		0	False
Q924K8	Mus musculus	Metazoa	591		0	False
Q9SL94	Arabidopsis thaliana	Viridiplantae	324		0	False
Q0IIM8	Homo sapiens	Metazoa	1120		0	False
Q08492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214		0	False
Q04724	Homo sapiens	Metazoa	770		0	False
P53397	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	376		0	False
A0A0K3AUE4	Caenorhabditis elegans	Metazoa	1968		0	False
P09211	Homo sapiens	Metazoa	210		0	False
O14734	Homo sapiens	Metazoa	319		0	False
O13788	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527		0	False
P26717	Homo sapiens	Metazoa	231		0	True
Q8R104	Mus musculus	Metazoa	334		0	False
P10176	Homo sapiens	Metazoa	69		0	True
Q22795	Caenorhabditis elegans	Metazoa	242		0	False
Q86WB0	Homo sapiens	Metazoa	502		0	False
P16451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	410		0	False
P34078	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	463		0	False
P40917	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		0	False
O15304	Homo sapiens	Metazoa	175		0	False
Q9C565	Arabidopsis thaliana	Viridiplantae	373		0	False
P50542	Homo sapiens	Metazoa	639		0	False
P26754	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	273		0	False
Q12748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733		0	False
P0C5Y9	Homo sapiens	Metazoa	115		0	False
P10518	Mus musculus	Metazoa	330		0	False
P87017	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	278		0	False
O14980	Homo sapiens	Metazoa	1071		0	False
Q9TY84	Crithidia fasciculata	Other	130		0	False
Q9Y3C5	Homo sapiens	Metazoa	154		0	False
Q63472	Rattus norvegicus	Metazoa	962		0	False
Q05048	Homo sapiens	Metazoa	431		0	False
Q9BXW9	Homo sapiens	Metazoa	1451		0	False
P15796	Caenorhabditis elegans	Metazoa	191		0	False
P21727	Pisum sativum	Viridiplantae	402		0	False
Q6TA49	Sus scrofa	Metazoa	289		0	True
P56280	Mus musculus	Metazoa	116		0	False
Q23590	Caenorhabditis elegans	Metazoa	1390		0	False
P00950	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	247		0	False
P32585	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307		0	False
Q12476	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	344		0	False
O00522	Homo sapiens	Metazoa	736		0	False
O60174	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	582		0	False
P47141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266		0	False
Q12420	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587		0	False
P78345	Homo sapiens	Metazoa	283		0	False
Q7Z2W9	Homo sapiens	Metazoa	205		0	False
F4HXU3	Arabidopsis thaliana	Viridiplantae	142		0	False
O14519	Homo sapiens	Metazoa	115		0	False
Q99PD6	Rattus norvegicus	Metazoa	461		0	False
P38863	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	823		0	False
Q9QYE3	Mus musculus	Metazoa	835		0	False
Q9FNH6	Arabidopsis thaliana	Viridiplantae	231		0	True
Q59RW5	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	493		0	False
O80796	Arabidopsis thaliana	Viridiplantae	330		0	False
P40050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	688		0	False
P40362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594		0	False
E5RQA1	Oryza sativa subsp. japonica	Viridiplantae	257		0	False
P28625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365		0	False
Q66K74	Homo sapiens	Metazoa	1059		0	False
P47006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	233		0	False
Q8WVC0	Homo sapiens	Metazoa	666		0	False
Q9NX52	Homo sapiens	Metazoa	303		0	True
Q9USP0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	341		0	False
P57678	Homo sapiens	Metazoa	1058		0	False
Q8TAF3	Homo sapiens	Metazoa	677		0	False
P34707	Caenorhabditis elegans	Metazoa	623		0	False
P97577	Rattus norvegicus	Metazoa	393		0	False
Q5BVD1	Homo sapiens	Metazoa	217		0	True
Q9GS00	Caenorhabditis elegans	Metazoa	601		0	False
Q9UT19	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	764		0	False
P40106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		0	False
Q9ESJ1	Mus musculus	Metazoa	568		0	False
Q9WV31	Mus musculus	Metazoa	396		0	False
Q9FFC7	Arabidopsis thaliana	Viridiplantae	978		0	False
Q3V0B4	Mus musculus	Metazoa	1847		0	False
Q8W4D6	Arabidopsis thaliana	Viridiplantae	598		0	False
Q8BRE0	Mus musculus	Metazoa	195		0	False
Q08119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	714		0	False
Q6UL01	Mus musculus	Metazoa	79		0	False
Q26635	Sarcophaga peregrina	Metazoa	354		0	False
Q96P48	Homo sapiens	Metazoa	1450		0	False
Q9LW29	Arabidopsis thaliana	Viridiplantae	575		0	False
Q8NHG8	Homo sapiens	Metazoa	242		0	False
O74560	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	636		0	False
Q9W1C5	Drosophila melanogaster	Metazoa	2053		0	False
P0C1Z6	Homo sapiens	Metazoa	253		0	False
C4QWS8	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	363		0	False
Q99MI9	Cricetulus longicaudatus	Metazoa	692		0	False
Q9BVL4	Homo sapiens	Metazoa	669		0	False
Q70Z53	Homo sapiens	Metazoa	315		0	False
Q23529	Caenorhabditis elegans	Metazoa	777		0	False
P53168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	247		0	False
O43813	Homo sapiens	Metazoa	399		0	False
Q93WG3	Arabidopsis thaliana	Viridiplantae	294		0	False
Q8RWN0	Arabidopsis thaliana	Viridiplantae	571		0	False
P84148	Candida albicans	Fungi	181		0	False
Q8MLZ3	Dictyostelium discoideum	Other	867		0	False
G5EGK6	Caenorhabditis elegans	Metazoa	2407		0	False
P54920	Homo sapiens	Metazoa	295		0	False
P40164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	858		0	False
Q16611	Homo sapiens	Metazoa	211		0	False
Q6PCP5	Mus musculus	Metazoa	291		0	False
P35558	Homo sapiens	Metazoa	622		0	False
Q9VW51	Drosophila melanogaster	Metazoa	1059		0	False
P47041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543		0	False
Q8L774	Arabidopsis thaliana	Viridiplantae	389		0	False
P53317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	196		0	False
Q8IWZ4	Homo sapiens	Metazoa	224		0	False
Q9NZB2	Homo sapiens	Metazoa	1118		0	False
O14503	Homo sapiens	Metazoa	412		0	False
Q920G2	Rattus norvegicus	Metazoa	337		0	False
O62683	Canis lupus familiaris	Metazoa	898		0	False
P78549	Homo sapiens	Metazoa	304		0	False
Q9JHI9	Mus musculus	Metazoa	570		0	True
O43031	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	381		0	False
Q10L01	Oryza sativa subsp. japonica	Viridiplantae	382		0	True
P82411	Spinacia oleracea	Viridiplantae	116		0	False
Q9UTJ8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1285		0	False
Q9SAC6	Arabidopsis thaliana	Viridiplantae	1399		0	False
Q07458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294		0	False
P01880	Homo sapiens	Metazoa	430		0	False
Q9UIL8	Homo sapiens	Metazoa	331		0	False
Q94535	Drosophila melanogaster	Metazoa	264		0	False
Q9FN03	Arabidopsis thaliana	Viridiplantae	440		0	False
P53081	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288		0	False
P42731	Arabidopsis thaliana	Viridiplantae	629		0	False
Q08977	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	551		0	False
O17679	Caenorhabditis elegans	Metazoa	708		0	False
Q9UUB5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	329		0	False
Q8H110	Arabidopsis thaliana	Viridiplantae	337		0	False
Q86XK3	Homo sapiens	Metazoa	245		0	False
O24463	Zea mays	Viridiplantae	328		0	False
Q8LE98	Arabidopsis thaliana	Viridiplantae	344		0	False
Q8BZA9	Mus musculus	Metazoa	269		0	False
A2RVJ8	Arabidopsis thaliana	Viridiplantae	434		0	False
Q9P127	Homo sapiens	Metazoa	313		0	False
Q53GL7	Homo sapiens	Metazoa	1025		0	False
Q9NQ92	Homo sapiens	Metazoa	184		0	False
P25038	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	676		0	False
Q944N1	Solanum lycopersicum	Viridiplantae	399		0	False
Q9LVH4	Arabidopsis thaliana	Viridiplantae	177		0	False
Q9Y5Q5	Homo sapiens	Metazoa	1042		0	True
Q7RZ62	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	347		0	False
Q9Y6P5	Homo sapiens	Metazoa	492		0	False
Q96E35	Homo sapiens	Metazoa	227		0	False
O42924	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	272		0	False
Q12204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	715		0	False
P78946	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	126		0	False
Q18508	Caenorhabditis elegans	Metazoa	1784		0	False
Q09904	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1159		0	False
Q02685	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	241		0	False
Q16206	Homo sapiens	Metazoa	610		0	False
Q8S950	Nicotiana tabacum	Viridiplantae	959		0	False
Q10574	Caenorhabditis elegans	Metazoa	142		0	False
Q9WTV0	Rattus norvegicus	Metazoa	417		0	False
Q9W1R5	Drosophila melanogaster	Metazoa	1854		0	False
Q6PCQ0	Mus musculus	Metazoa	778		0	False
Q9CAC5	Arabidopsis thaliana	Viridiplantae	191		0	True
O70597	Rattus norvegicus	Metazoa	246		0	False
Q9P5M9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	257		0	False
O35047	Mus musculus	Metazoa	217		0	False
P02314	Gallus gallus	Metazoa	90		0	False
P85845	Rattus norvegicus	Metazoa	493		0	False
A1Z7A8	Drosophila melanogaster	Metazoa	634		0	False
O23247	Arabidopsis thaliana	Viridiplantae	642		0	False
Q9M9Y4	Arabidopsis thaliana	Viridiplantae	421		0	False
Q96BT3	Homo sapiens	Metazoa	561		0	False
Q7TS63	Mus musculus	Metazoa	1237		0	False
S7VVK4	Toxoplasma gondii (strain ATCC 50853 / GT1)	Other	4367		0	False
Q15125	Homo sapiens	Metazoa	230		0	True
Q12117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320		0	True
Q80T22	Rattus norvegicus	Metazoa	484		0	True
P32862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1170		0	False
P32335	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	436		0	False
P38687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	599		0	False
P53769	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	259		0	False
Q9ZVL6	Arabidopsis thaliana	Viridiplantae	285		0	False
Q6A037	Mus musculus	Metazoa	893		0	False
P31334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	269		0	False
P38779	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	376		0	False
A0A078CGE6	Brassica napus	Viridiplantae	1299		0	False
Q5EAF2	Arabidopsis thaliana	Viridiplantae	334		0	False
P61581	Homo sapiens	Metazoa	75		0	False
Q9D0Z3	Mus musculus	Metazoa	276		0	False
O13915	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	265		0	False
P53834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153		0	False
Q07436	Drosophila melanogaster	Metazoa	1427		0	False
A0A1S4FPC9	Aedes aegypti	Metazoa	3364		0	False
Q96330	Arabidopsis thaliana	Viridiplantae	336		0	False
Q92565	Homo sapiens	Metazoa	580		0	False
P48239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	356		0	False
Q00816	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1014		0	False
Q8GT74	Arabidopsis thaliana	Viridiplantae	241		0	True
B2C6R6	Arabidopsis thaliana	Viridiplantae	681		0	False
P02489	Homo sapiens	Metazoa	173		0	False
O77408	Lymnaea stagnalis	Metazoa	638		0	True
Q9JLR5	Mus musculus	Metazoa	209		0	False
Q04779	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	684		0	False
P46678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594		0	False
P48595	Homo sapiens	Metazoa	397		0	False
P40208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455		0	False
F4JHA2	Arabidopsis thaliana	Viridiplantae	884		0	False
Q12354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227		0	False
