Accession	Organism	Kingdom	Sequence length	SP cleavage
P01168	Sus scrofa	Metazoa	116	24
P01297	Sus scrofa	Metazoa	121	24
P05117	Solanum lycopersicum	Viridiplantae	457	24
P13806	Oryctolagus cuniculus	Metazoa	1106	26
P14448	Gallus gallus	Metazoa	741	18
P19425	Aedes aegypti	Metazoa	97	19
P20507	Chlamydomonas reinhardtii	Viridiplantae	377	20
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20
P27731	Gallus gallus	Metazoa	150	20
P29026	Rhizopus oligosporus	Fungi	540	22
P29241	Aplysia californica	Metazoa	282	24
P30986	Eschscholzia californica	Viridiplantae	538	23
P42098	Sus scrofa	Metazoa	421	22
P49256	Canis lupus familiaris	Metazoa	356	44
P52706	Prunus serotina	Viridiplantae	563	27
P81058	Penaeus vannamei	Metazoa	82	19
P84777	Tityus discrepans	Metazoa	61	23
Q27309	Bombyx mori	Metazoa	1782	15
Q3L1D1	Agaricus bisporus	Fungi	594	25
Q4WL81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	234	20
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26
Q8ISL8	Apis mellifera	Metazoa	78	24
Q8J0K5	Talaromyces funiculosus	Fungi	282	39
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19
Q8MP06	Tyria jacobaeae	Metazoa	456	22
Q8WP90	Solenopsis invicta	Metazoa	153	19
Q8WPJ2	Mytilus edulis	Metazoa	367	17
Q95P90	Olivierus martensii	Metazoa	94	22
Q9XSW3	Sus scrofa	Metazoa	240	18
Q9XYT4	Cryptorchestia cavimana	Metazoa	128	20
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24
C9K4X8	Patiria pectinifera	Metazoa	116	29
F1RRV3	Sus scrofa	Metazoa	2692	19
I3LGZ3	Sus scrofa	Metazoa	81	24
O18330	Apis mellifera	Metazoa	432	19
O80323	Pyrus pyrifolia	Viridiplantae	222	22
P02701	Gallus gallus	Metazoa	152	24
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15
P15226	Tityus serrulatus	Metazoa	84	20
P19069	Cavia porcellus	Metazoa	1742	19
P56201	Oryctolagus cuniculus	Metazoa	797	24
P81054	Grifola frondosa	Fungi	348	18
P81383	Ophiophagus hannah	Metazoa	491	20
Q1XG90	Crassostrea virginica	Metazoa	135	18
Q27082	Tachypleus tridentatus	Metazoa	673	19
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16
Q4W1I9	Zinnia elegans	Viridiplantae	321	30
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26
Q86QT3	Centruroides noxius	Metazoa	62	20
Q9YH85	Gallus gallus	Metazoa	2120	24
Q9ZT64	Pinus contorta	Viridiplantae	513	23
A0A1L6K371	Juglans nigra	Viridiplantae	510	23
A0A482A9N4	Talaromyces verruculosus	Fungi	328	21
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19
E0D877	Aedes albopictus	Metazoa	564	25
I1SB12	Microdochium nivale	Fungi	495	22
O61668	Olivierus martensii	Metazoa	88	18
P01500	Apis mellifera	Metazoa	46	27
P0DKU2	Pandinus imperator	Metazoa	145	15
P17715	Octodon degus	Metazoa	109	24
P25291	Canis lupus familiaris	Metazoa	509	21
P29022	Zea mays	Viridiplantae	280	25
P29794	Canis lupus familiaris	Metazoa	180	20
P31723	Penicillium citrinum	Fungi	511	35
P67861	Daboia russelii	Metazoa	144	24
P78581	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	588	18
P79263	Sus scrofa	Metazoa	921	27
Q27908	Pinctada fucata	Metazoa	447	17
Q28989	Sus scrofa	Metazoa	421	26
Q29486	Felis catus	Metazoa	524	17
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51
Q7SZI7	Xenopus laevis	Metazoa	1219	22
Q805F3	Xenopus laevis	Metazoa	397	16
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	26
Q8WZI8	Aspergillus niger	Fungi	521	17
Q95JC9	Sus scrofa	Metazoa	676	16
Q9GQV7	Aedes aegypti	Metazoa	128	22
Q9U572	Penaeus monodon	Metazoa	1670	14
Q9UAD0	Olivierus martensii	Metazoa	59	24
Q9UVI4	Claviceps fusiformis	Fungi	394	16
P60153	Homo sapiens	Metazoa	205	26
Q5FWE3	Homo sapiens	Metazoa	981	27
O75711	Homo sapiens	Metazoa	98	20
P12872	Homo sapiens	Metazoa	115	25
Q6UWV2	Homo sapiens	Metazoa	235	31
Q8NBM8	Homo sapiens	Metazoa	494	22
Q8TAL6	Homo sapiens	Metazoa	211	18
Q96S96	Homo sapiens	Metazoa	227	22
Q9BX93	Homo sapiens	Metazoa	195	19
Q9HB40	Homo sapiens	Metazoa	452	26
Q6UXK5	Homo sapiens	Metazoa	716	25
Q6UW32	Homo sapiens	Metazoa	110	24
Q6UX52	Homo sapiens	Metazoa	265	20
Q96PL1	Homo sapiens	Metazoa	93	21
Q9NRR1	Homo sapiens	Metazoa	136	22
Q9NTU7	Homo sapiens	Metazoa	201	27
D4A540	Rattus norvegicus	Metazoa	148	31
P80513	Bos taurus	Metazoa	179	21
Q3UN54	Mus musculus	Metazoa	99	21
Q55GS3	Dictyostelium discoideum	Other	607	19
Q8LG54	Arabidopsis thaliana	Viridiplantae	130	21
Q8S2W4	Arabidopsis thaliana	Viridiplantae	61	22
O48818	Arabidopsis thaliana	Viridiplantae	257	20
O70280	Rattus norvegicus	Metazoa	212	26
P07994	Bos taurus	Metazoa	360	17
P21837	Dictyostelium discoideum	Other	550	19
Q01460	Rattus norvegicus	Metazoa	367	23
Q02862	Mus musculus	Metazoa	184	15
Q0P569	Bos taurus	Metazoa	474	24
Q4V645	Drosophila melanogaster	Metazoa	108	29
Q61400	Mus musculus	Metazoa	265	33
Q8LD43	Arabidopsis thaliana	Viridiplantae	62	22
Q8MI01	Bos taurus	Metazoa	330	23
Q9LJD9	Arabidopsis thaliana	Viridiplantae	60	27
Q9M373	Arabidopsis thaliana	Viridiplantae	74	26
G3MYZ3	Bos taurus	Metazoa	604	21
G5EC68	Caenorhabditis elegans	Metazoa	85	17
P02780	Rattus norvegicus	Metazoa	95	18
P04557	Bos taurus	Metazoa	140	25
P06911	Rattus norvegicus	Metazoa	188	19
P19035	Bos taurus	Metazoa	96	23
P81264	Bos taurus	Metazoa	98	22
Q53NL5	Oryza sativa subsp. japonica	Viridiplantae	290	27
Q5PP12	Arabidopsis thaliana	Viridiplantae	69	25
Q62632	Rattus norvegicus	Metazoa	306	18
Q95121	Bos taurus	Metazoa	416	20
Q9C9H5	Arabidopsis thaliana	Viridiplantae	484	21
P00996	Bos taurus	Metazoa	79	23
P02783	Rattus norvegicus	Metazoa	112	21
P08541	Rattus norvegicus	Metazoa	530	23
P19034	Bos taurus	Metazoa	101	22
Q05443	Bos taurus	Metazoa	342	18
Q10E50	Oryza sativa subsp. japonica	Viridiplantae	163	43
Q10NX8	Oryza sativa subsp. japonica	Viridiplantae	858	30
Q28862	Bos taurus	Metazoa	310	16
Q5JNJ5	Oryza sativa subsp. japonica	Viridiplantae	237	28
Q9TW32	Dictyostelium discoideum	Other	197	22
O35806	Rattus norvegicus	Metazoa	1764	35
P13204	Bos taurus	Metazoa	129	26
P17690	Bos taurus	Metazoa	345	19
P18892	Bos taurus	Metazoa	526	26
Q18184	Caenorhabditis elegans	Metazoa	89	23
Q60GF7	Rattus norvegicus	Metazoa	252	22
Q63191	Rattus norvegicus	Metazoa	1216	21
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18
A1IKL2	Anisakis simplex	Metazoa	152	18
B0CPC6	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21
B4FZ87	Zea mays	Viridiplantae	396	31
C0HL38	Trichonephila clavata	Metazoa	60	19
C4NZN9	Hyas araneus	Metazoa	131	16
G1CWH6	Clitoria ternatea	Viridiplantae	122	25
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32
O59896	Pycnoporus cinnabarinus	Fungi	518	21
O76942	Encephalitozoon cuniculi (strain GB-M1)	Fungi	395	22
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23
P13917	Glycine max	Viridiplantae	427	24
P18657	Macaca fascicularis	Metazoa	83	26
P23577	Chlamydomonas reinhardtii	Viridiplantae	317	31
P24052	Gallus gallus	Metazoa	142	21
P24817	Momordica charantia	Viridiplantae	286	23
P42705	Canis lupus familiaris	Metazoa	352	23
P80022	Solanum lycopersicum	Viridiplantae	230	25
P82358	Acanthoscurria gomesiana	Metazoa	84	23
P83313	Opistophthalmus carinatus	Metazoa	82	22
P86407	Mesobuthus eupeus	Metazoa	75	22
P86798	Cupiennius salei	Metazoa	140	19
Q00017	Aspergillus aculeatus	Fungi	250	17
Q12546	Aspergillus ficuum	Fungi	614	22
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18
Q6TPK4	Actinidia deliciosa	Viridiplantae	116	26
Q76FB0	Cyanidium caldarium	Other	155	20
Q7ZZN8	Naja atra	Metazoa	238	19
Q8NK90	Aspergillus kawachii (strain NBRC 4308)	Fungi	628	25
Q92154	Coturnix japonica	Metazoa	620	17
Q95NY5	Anopheles stephensi	Metazoa	315	18
Q9U943	Locusta migratoria	Metazoa	3380	21
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18
G4V4F9	Cupiennius salei	Metazoa	97	19
O96910	Aplysia californica	Metazoa	76	18
P04119	Sus scrofa	Metazoa	178	18
P0C8E8	Rhipicephalus sanguineus	Metazoa	86	20
P0DUT6	Doratifera vulnerans	Metazoa	66	20
P10257	Oncorhynchus keta	Metazoa	137	24
P20013	Trametes versicolor	Fungi	372	26
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25
P48747	Oryctolagus cuniculus	Metazoa	557	21
P48816	Bombyx mori	Metazoa	137	18
P56829	Ovis aries	Metazoa	195	23
P59938	Olivierus martensii	Metazoa	57	21
P67876	Aspergillus restrictus	Fungi	176	27
P80060	Locusta migratoria	Metazoa	92	19
P85213	Galleria mellonella	Metazoa	72	29
P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	24
Q07081	Aquarana catesbeiana	Metazoa	464	16
Q17058	Apis mellifera	Metazoa	567	17
Q39649	Cucurbita maxima	Viridiplantae	141	22
Q41161	Robinia pseudoacacia	Viridiplantae	285	31
Q6GU94	Centruroides limpidus	Metazoa	56	24
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17
Q84V39	Olea europaea	Viridiplantae	123	21
Q875I9	Aspergillus fumigatus	Fungi	238	17
Q8I817	Aplysia californica	Metazoa	88	19
A0A0F7YZQ7	Conus victoriae	Metazoa	100	24
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23
A1BQQ5	Conus marmoreus	Metazoa	289	24
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18
D7UQ40	Alternaria solani	Fungi	515	25
F1AWB0	Vaejovis mexicanus	Metazoa	82	22
F7J1C8	Flammulina velutipes	Fungi	249	21
G8YYA5	Androctonus amoreuxi	Metazoa	74	22
I6S7G5	Scolopendra mutilans	Metazoa	84	16
O02826	Sus scrofa	Metazoa	111	20
O11780	Sus scrofa	Metazoa	683	23
O62680	Sus scrofa	Metazoa	123	25
P01070	Glycine max	Viridiplantae	216	24
P02659	Gallus gallus	Metazoa	106	24
P05790	Bombyx mori	Metazoa	5263	21
P06205	Limulus polyphemus	Metazoa	242	24
P09791	Trypanosoma brucei brucei	Other	129	27
P10762	Locusta migratoria	Metazoa	179	16
P10968	Triticum aestivum	Viridiplantae	212	26
P18709	Xenopus laevis	Metazoa	1807	15
P19400	Ascaris suum	Metazoa	169	20
P20740	Gallus gallus	Metazoa	1473	36
P22864	Aspergillus niger	Fungi	373	19
P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15
P38660	Mesocricetus auratus	Metazoa	439	19
P42660	Aedes aegypti	Metazoa	471	19
P80356	Avena sativa	Viridiplantae	220	19
Q00870	Fusarium solani subsp. phaseoli	Fungi	350	19
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18
Q06K77	Phlebotomus duboscqi	Metazoa	336	21
Q27085	Tachypleus tridentatus	Metazoa	418	24
Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18
Q76CE8	Typhula ishikariensis	Fungi	243	20
Q7M418	Oligobrachia mashikoi	Metazoa	163	16
Q7Q7R8	Anopheles gambiae	Metazoa	89	29
Q7YZS9	Conus virgo	Metazoa	67	26
Q8T0W8	Gastrophysa atrocyanea	Metazoa	65	24
Q8T0Y7	Aplysia californica	Metazoa	141	26
Q8W257	Ptilota filicina	Other	500	21
Q945U0	Phytophthora sojae	Other	257	28
Q95P08	Scutigera coleoptrata	Metazoa	656	18
Q9TRM8	Canis lupus familiaris	Metazoa	177	25
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23
A1X159	Perna viridis	Metazoa	431	20
B0FHH8	Manduca sexta	Metazoa	151	18
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23
B2KNH9	Dendrobium findlayanum	Viridiplantae	167	24
E9NX73	Fagopyrum tataricum	Viridiplantae	149	22
O18994	Sus scrofa	Metazoa	219	21
O46167	Eratigena agrestis	Metazoa	68	17
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26
P01221	Cyprinus carpio	Metazoa	118	23
P04552	Haliotis rufescens	Metazoa	154	18
P0DQP8	Cerrophidion godmani	Metazoa	166	19
P15196	Oryctolagus cuniculus	Metazoa	398	31
P18417	Catharanthus roseus	Viridiplantae	352	31
P20757	Ovis aries	Metazoa	476	24
P29007	Bombina orientalis	Metazoa	155	31
P30438	Felis catus	Metazoa	92	22
P32358	Bombyx mori	Metazoa	579	15
P42578	Lymnaea stagnalis	Metazoa	239	18
P62520	Chilobrachys guangxiensis	Metazoa	63	27
P84843	Hybomitra bimaculata	Metazoa	76	20
Q08127	Anguilla anguilla	Metazoa	147	20
Q16927	Aedes aegypti	Metazoa	2169	46
Q3C258	Actinia equina	Metazoa	70	20
Q42502	Solanum tuberosum	Viridiplantae	386	23
Q5B428	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	244	23
Q5WPZ4	Lutzomyia longipalpis	Metazoa	115	22
Q75WF2	Acanthaster planci	Metazoa	358	26
Q76CA2	Monoplex parthenopeus	Metazoa	275	23
Q76FP5	Hypocrea rufa	Fungi	479	20
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18
Q86SC0	Oryctes rhinoceros	Metazoa	66	26
Q8I7X1	Porcellio scaber	Metazoa	145	21
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23
Q90W22	Aquarana catesbeiana	Metazoa	114	24
Q94637	Oscheius tipulae	Metazoa	1648	15
Q95NK7	Olivierus martensii	Metazoa	54	23
Q99013	Pseudopleuronectes americanus	Metazoa	82	23
Q9U8D1	Olivierus martensii	Metazoa	56	28
B2NHN2	Talaromyces funiculosus	Fungi	339	20
E0XKJ9	Tabanus yao	Metazoa	349	25
L8BRS3	Morus alba	Viridiplantae	209	18
P01038	Gallus gallus	Metazoa	139	23
P01068	Ananas comosus	Viridiplantae	246	19
P02809	Macaca fascicularis	Metazoa	61	19
P0DUS6	Doratifera vulnerans	Metazoa	60	24
P19594	Glycine max	Viridiplantae	158	21
P20656	Saponaria officinalis	Viridiplantae	299	24
P21828	Bombyx mori	Metazoa	262	16
P24792	Cucurbita maxima	Viridiplantae	579	30
P25033	Hyalophora cecropia	Metazoa	413	19
P26732	Bombyx mori	Metazoa	92	19
P34746	Oreochromis mossambicus	Metazoa	204	17
P69241	Raphanus sativus	Viridiplantae	80	29
P79073	Hypocrea jecorina	Fungi	86	15
Q05091	Pyrus communis	Viridiplantae	330	24
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23
Q29422	Ovis aries	Metazoa	333	20
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22
Q6RG02	Penaeus merguiensis	Metazoa	2586	18
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24
Q94733	Rhodnius prolixus	Metazoa	202	23
Q95NJ8	Olivierus martensii	Metazoa	55	23
Q9GU69	Lymnaea stagnalis	Metazoa	64	21
Q9MYV1	Canis lupus familiaris	Metazoa	128	25
O95157	Homo sapiens	Metazoa	252	22
Q6UWI4	Homo sapiens	Metazoa	295	33
Q6UWJ8	Homo sapiens	Metazoa	174	29
Q6UWY5	Homo sapiens	Metazoa	402	28
Q6XE38	Homo sapiens	Metazoa	83	21
Q6UW10	Homo sapiens	Metazoa	78	19
Q9NRC9	Homo sapiens	Metazoa	128	17
Q7Z5L0	Homo sapiens	Metazoa	202	24
P01174	Rattus norvegicus	Metazoa	137	19
Q8MJV4	Bos taurus	Metazoa	122	24
Q9Z0M9	Mus musculus	Metazoa	193	28
A9UGV5	Oryza sativa subsp. japonica	Viridiplantae	68	30
Q27967	Bos taurus	Metazoa	203	23
D3Z9M3	Rattus norvegicus	Metazoa	109	16
O62644	Bos taurus	Metazoa	151	18
Q10ST8	Oryza sativa subsp. japonica	Viridiplantae	96	27
Q6ASY2	Oryza sativa subsp. japonica	Viridiplantae	178	26
P09586	Mus musculus	Metazoa	222	31
P29421	Oryza sativa subsp. japonica	Viridiplantae	200	22
P55955	Caenorhabditis elegans	Metazoa	132	19
Q653V7	Oryza sativa subsp. japonica	Viridiplantae	885	33
Q6Z232	Oryza sativa subsp. japonica	Viridiplantae	146	42
A9UGV6	Oryza sativa subsp. japonica	Viridiplantae	61	26
P05367	Mus musculus	Metazoa	122	19
P15270	Dictyostelium discoideum	Other	424	23
P25068	Bos taurus	Metazoa	64	26
P81623	Bos taurus	Metazoa	258	29
Q20224	Caenorhabditis elegans	Metazoa	161	19
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24
B9A8D7	Crassostrea virginica	Metazoa	85	18
O00105	Aspergillus niger	Fungi	564	19
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29
O62605	Galleria mellonella	Metazoa	218	16
P01538	Viscum album	Viridiplantae	111	26
P04706	Zea mays	Viridiplantae	223	19
P07529	Naganishia albida	Fungi	332	21
P07712	Aplysia californica	Metazoa	112	23
P0DL40	Vespa magnifica	Metazoa	67	21
P0DPU8	Scolopendra dehaani	Metazoa	105	24
P0DQB8	Scolopendra dehaani	Metazoa	73	20
P0DSJ6	Myrmecia gulosa	Metazoa	62	24
P10675	Schistocerca americana	Metazoa	662	24
P13691	Hordeum vulgare	Viridiplantae	152	30
P20462	Notamacropus eugenii	Metazoa	176	18
P27275	Amaranthus caudatus	Viridiplantae	86	25
P43077	Candida albicans	Fungi	562	22
P80961	Myoxocephalus octodecemspinosus	Metazoa	128	20
P81999	Canis lupus familiaris	Metazoa	358	22
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19
P83234	Ophiophagus hannah	Metazoa	190	20
P86929	Metaphire guillelmi	Metazoa	73	14
Q00945	Lymnaea stagnalis	Metazoa	155	26
Q02126	Hordeum vulgare	Viridiplantae	330	25
Q06KA2	Phlebotomus duboscqi	Metazoa	249	19
Q08738	Bombyx mori	Metazoa	239	16
Q09117	Populus deltoides	Viridiplantae	312	24
Q24824	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	96	19
Q25589	Faxonius limosus	Metazoa	135	26
Q29381	Sus scrofa	Metazoa	439	25
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19
Q8JFQ0	Bombina maxima	Metazoa	96	19
Q8MI35	Sus scrofa	Metazoa	152	32
Q8MVA6	Ixodes scapularis	Metazoa	69	23
Q8T4J9	Manduca sexta	Metazoa	180	15
Q8WQK0	Cotesia rubecula	Metazoa	65	23
Q9PVW8	Silurus asotus	Metazoa	308	23
Q9SLP4	Tulipa saxatilis subsp. bakeri	Viridiplantae	314	26
A0A1S6EK92	Moringa oleifera	Viridiplantae	79	20
A4LAR6	Grifola frondosa	Fungi	107	24
A7L035	Chironex fleckeri	Metazoa	456	20
F2QXM5	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi	587	19
P01364	Aplysia californica	Metazoa	108	23
P0DPZ2	Scolopendra dehaani	Metazoa	101	23
P10562	Canavalia gladiata	Viridiplantae	445	26
P14214	Tachypleus tridentatus	Metazoa	77	23
P14946	Lolium perenne	Viridiplantae	263	23
P22327	Trichoplusia ni	Metazoa	624	18
P25404	Mirabilis jalapa	Viridiplantae	63	27
P26780	Sinapis alba	Viridiplantae	99	30
P31420	Manduca sexta	Metazoa	274	18
P45590	Hyalophora cecropia	Metazoa	129	17
P49125	Latrodectus tredecimguttatus	Metazoa	88	18
P58912	Phyllodiscus semoni	Metazoa	488	21
P80915	Macadamia integrifolia	Viridiplantae	102	26
P83472	Lumbricus terrestris	Metazoa	86	22
Q02942	Blaberus discoidalis	Metazoa	726	16
Q6IV20	Gallus gallus	Metazoa	104	22
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22
Q867W1	Procambarus clarkii	Metazoa	76	27
Q8HYA9	Sus scrofa	Metazoa	185	20
Q90WJ9	Takifugu pardalis	Metazoa	391	20
Q9UAH3	Pinctada fucata	Metazoa	129	23
B0JFB8	Antheraea mylitta	Metazoa	105	19
E0XKJ8	Tabanus yao	Metazoa	256	16
I6S390	Scolopendra mutilans	Metazoa	76	22
O76537	Trichoplusia ni	Metazoa	182	16
P00719	Struthio camelus	Metazoa	204	19
P02896	Trypanosoma brucei brucei	Other	526	33
P03998	Limulus polyphemus	Metazoa	195	20
P0DPU3	Scolopendra dehaani	Metazoa	577	25
P0DUQ6	Conus planorbis	Metazoa	70	21
P0DUS7	Doratifera vulnerans	Metazoa	56	19
P11919	Manduca sexta	Metazoa	88	26
P15570	Phytophthora cryptogea	Other	118	20
P18684	Protophormia terraenovae	Metazoa	101	18
P20797	Antheraea polyphemus	Metazoa	163	21
P21814	Ovis aries	Metazoa	429	25
P26202	Oryctolagus cuniculus	Metazoa	137	20
P28770	Oncorhynchus mykiss	Metazoa	221	21
P34951	Hordeum vulgare	Viridiplantae	143	24
P35777	Solenopsis invicta	Metazoa	137	19
P55847	Penaeus japonicus	Metazoa	105	28
P68248	Gallus gallus	Metazoa	80	25
P69770	Conus marmoreus	Metazoa	94	25
P80090	Lymnaea stagnalis	Metazoa	122	29
P80686	Tenebrio molitor	Metazoa	211	16
P81295	Juniperus ashei	Viridiplantae	225	26
P81511	Hirudo medicinalis	Metazoa	81	15
P82103	Mytilus galloprovincialis	Metazoa	96	20
P86009	Dromaius novaehollandiae	Metazoa	238	17
P91745	Lucilia cuprina	Metazoa	375	20
Q03383	Bombyx mori	Metazoa	400	16
Q25055	Holotrichia diomphalia	Metazoa	104	20
Q25255	Lucilia cuprina	Metazoa	356	23
Q27270	Tenebrio molitor	Metazoa	96	18
Q39688	Daucus carota	Viridiplantae	389	24
Q42656	Coffea arabica	Viridiplantae	378	15
Q43413	Capsicum annuum	Viridiplantae	75	27
Q56S59	Nicotiana tabacum	Viridiplantae	150	23
Q5D710	Scylla serrata	Metazoa	126	24
Q5G8A6	Tityus costatus	Metazoa	87	19
Q64HC7	Armadillidium vulgare	Metazoa	73	19
Q6F4C6	Pinctada fucata	Metazoa	121	16
Q6T6C1	Theromyzon tessulatum	Metazoa	107	21
Q86R84	Dermatophagoides farinae	Metazoa	462	25
Q9NBW4	Theromyzon tessulatum	Metazoa	101	19
Q9ZT66	Zea mays	Viridiplantae	303	43
A0A1W6EVM7	Ampulex compressa	Metazoa	50	26
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23
P02230	Chironomus thummi thummi	Metazoa	151	15
P07439	Megabalanus rosa	Metazoa	162	24
P07457	Zoarces americanus	Metazoa	87	22
P0C1X6	Tityus discrepans	Metazoa	62	26
P0DQE1	Scolopendra dehaani	Metazoa	109	23
P0DUS5	Doratifera vulnerans	Metazoa	57	24
P0DUT0	Doratifera vulnerans	Metazoa	46	19
P23438	Canis lupus familiaris	Metazoa	183	17
P31608	Sagittaria sagittifolia	Viridiplantae	181	24
P33577	Petromyzon marinus	Metazoa	119	19
P39037	Sus scrofa	Metazoa	232	15
P42256	Aspergillus niger	Fungi	321	19
P48842	Aspergillus aculeatus	Fungi	350	16
P67788	Manduca sexta	Metazoa	65	19
P80392	Meleagris gallopavo	Metazoa	64	28
P81492	Hirudinaria manillensis	Metazoa	84	20
P82187	Equus caballus	Metazoa	185	20
Q01528	Limulus polyphemus	Metazoa	172	19
Q09022	Xenopus laevis	Metazoa	84	18
Q27441	Aplysia californica	Metazoa	92	21
Q40975	Papaver rhoeas	Viridiplantae	139	19
Q43871	Hordeum vulgare	Viridiplantae	115	25
Q50KB1	Emiliania huxleyi	Other	223	17
Q589G4	Anoplius samariensis	Metazoa	75	17
Q5GQ85	Argas reflexus	Metazoa	159	16
Q70SU7	Salvelinus alpinus	Metazoa	342	19
Q7Z0T3	Aplysia californica	Metazoa	125	22
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23
Q95UE8	Lucilia cuprina	Metazoa	220	19
A7VN15	Protobothrops flavoviridis	Metazoa	79	19
G9M8X1	Nephotettix cincticeps	Metazoa	687	19
O96059	Bombyx mori	Metazoa	66	24
P01076	Solanum lycopersicum	Viridiplantae	77	32
P08375	Sarcophaga peregrina	Metazoa	63	23
P0DPU7	Scolopendra dehaani	Metazoa	78	25
P0DPU9	Myrmecia gulosa	Metazoa	67	25
P0DQC1	Scolopendra dehaani	Metazoa	92	20
P0DUS8	Doratifera vulnerans	Metazoa	59	17
P14217	Chlamydomonas reinhardtii	Viridiplantae	647	21
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17
P27613	Trichostrongylus colubriformis	Metazoa	173	15
P31419	Manduca sexta	Metazoa	161	20
P35578	Zootoca vivipara	Metazoa	172	21
P55057	Oryctolagus cuniculus	Metazoa	124	27
P81941	Pseudopleuronectes americanus	Metazoa	68	22
P83508	Cavia porcellus	Metazoa	170	16
Q06K61	Phlebotomus duboscqi	Metazoa	516	20
Q06KA5	Phlebotomus duboscqi	Metazoa	142	20
Q29W25	Crocus sativus	Viridiplantae	168	26
Q53B52	Ophiophagus hannah	Metazoa	78	21
Q8MUP7	Ixodes scapularis	Metazoa	102	21
Q9GSA4	Galleria mellonella	Metazoa	113	19
Q9LLT1	Juniperus virginiana	Viridiplantae	367	21
W1I921	Achatina achatina	Metazoa	184	26
P82384	Drosophila melanogaster	Metazoa	92	16
P81827	Rattus norvegicus	Metazoa	101	21
P15450	Apis mellifera	Metazoa	53	19
P21978	Leishmania amazonensis	Other	476	32
P27919	Avena sativa	Viridiplantae	214	28
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21
